id	COG	KEGG_KOs	ann_egg
GL50803_60001	S		Retrotransposon protein
GL50803_60004	S		Retrotransposon protein
GL50803_60026	M		Ankyrin Repeat Protein
GL50803_60027	T	K04371,K08818,K12765	Male germ cell-associated kinase
GL50803_8044	S	K12386	PQ loop repeat
GL50803_16313	A	K14843	Component of the NOP7 complex, which is required for maturation of the 25S and 5.8S ribosomal RNAs and formation of the 60S ribosome (By similarity)
GL50803_95162	S	K06252	WNT inhibitory factor 1
GL50803_8038	U	K14297	nuclear pore complex protein
GL50803_8037	D	K02087,K02088,K02206,K07760	Cyclin-Dependent Kinase
GL50803_8035	J	K14824	Ribosome biogenesis protein
GL50803_14614	J	K03263,K15151	eukaryotic translation initiation factor
GL50803_2452	E	K01750,K18258	Crystallin, mu
GL50803_16311	J	K11131	TruB pseudouridine (psi) synthase homolog 1 (E. coli)
GL50803_16310	J	K02900	60s ribosomal protein
GL50803_22165	T	K04368,K08294	mitogen-activated protein kinase kinase
GL50803_12945	S	K00688	Yip1 domain family
GL50803_60030	S	K02599	WNT inhibitory factor 1
GL50803_d113304	S		regulation of RNA biosynthetic process
GL50803_d15250	O		proprotein convertase subtilisin kexin type
GL50803_6702	T	K06176	pseudouridylate synthase 7 homolog (S
GL50803_6700	T	K02206,K08828,K08829,K12765	Male germ cell-associated kinase
GL50803_14278	S		Inherit from euNOG: membrane associated protein
GL50803_14277	G	K14521	N-acetyltransferase 10
GL50803_17025	E		ATP GTP binding
GL50803_95661	S	K16582	Tubulin tyrosine ligase-like family, member
GL50803_8438	M		Ankyrin Repeat Protein
GL50803_17023	E	K06653	Ankyrin Repeat
GL50803_95653	S		coiled-coil domain containing 39
GL50803_8444	P	K08169	Major Facilitator Superfamily
GL50803_8445	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_113836	S	K02599	WNT inhibitory factor 1
GL50803_23767	S	K16912	LAS1-like (S. cerevisiae)
GL50803_10612	T	K17605	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides. Acts as a regulatory subunit for PP2A-like phosphatases modulating their activity or substrate specificity, probably by inducing a conformational change in the catalytic subunit, a direct target of the PPIase. Can reactivate inactive phosphatase PP2A-phosphatase methylesterase complexes (PP2Ai) in presence of ATP and Mg(2 ) by dissociating the inactive form from the complex (By similarity)
GL50803_15252	O		ubiquitin-conjugating enzyme
GL50803_10609	T	K08271,K08835,K17532	ste20-related kinase adaptor
GL50803_10606	K	K12581	Ccr4-not transcription complex, subunit
GL50803_10605	T		Ribosomal protein S6
GL50803_15250	O		proprotein convertase subtilisin kexin type
GL50803_113304	S		regulation of RNA biosynthetic process
GL50803_113303	O	K01363	cathepsin
GL50803_16363	E	K00814	alanine aminotransferase
GL50803_16364	U	K12391,K12400	Adaptor-related protein complex
GL50803_16365	S		Zinc finger protein
GL50803_23655	V	K03327	Mate efflux family protein
GL50803_26894	S		small proline-rich protein 3
GL50803_60083	T		Serine Threonine protein kinase
GL50803_113297	S		VSP with INR
GL50803_88581	S	K10258	Trans-2,3-enoyl-CoA
GL50803_5328	U	K00873,K11481,K11827	adaptor-related protein complex 2, sigma 1 subunit
GL50803_13896	O		Family with sequence similarity 108, member
GL50803_16298	J	K02977	Ribosomal protein
GL50803_5333	T	K02183	Calcium binding protein
GL50803_16299	S	K14856	SDA1 domain containing 1
GL50803_2834	U	K15044	ArfGAP with FG repeats
GL50803_16300	S		Ankyrin Repeat
GL50803_d103094	E	K09257	Ankyrin Repeat
GL50803_113284	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_17058			
GL50803_1890	J	K12590	Exosome component 5
GL50803_17056	J	K02940	ribosomal protein l9
GL50803_17055	T	K00907	IG_like
GL50803_17054	J	K02941,K17591	60S acidic ribosomal protein
GL50803_17053	S		Ankyrin repeat domain 24
GL50803_91476			
GL50803_17051	E	K10645	Ankyrin Repeat
GL50803_91504	S		AHNAK nucleoprotein
GL50803_50028			
GL50803_116477	S		VSP with INR
GL50803_96616	T	K08824	Cyclin-dependent kinase-like
GL50803_27836	M		Ankyrin Repeat Protein
GL50803_17157	A	K11583	Protein phosphatase 2, regulatory subunit B
GL50803_15099	O	K02731,K14810	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
GL50803_13998	J	K01868,K17420	Threonyl-trna synthetase
GL50803_17152	M	K15502,K15503	Ankyrin Repeat Protein
GL50803_17151	S	K00355,K11746,K11748	(NAD(P)H dehydrogenase) (Quinone)
GL50803_17150	S		Flavodoxin-like fold
GL50803_7588	T	K04460,K13807	protein phosphatase, EF-hand calcium binding domain
GL50803_14488	D	K05868,K06627,K11599	g2 mitotic-specific
GL50803_7579	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_7578	T	K02183	Calcium binding protein
GL50803_17149	O	K14539	Large subunit GTPase 1
